block_name,r,g,b
minecraft:pink_glazed_terracotta,235,155,182
minecraft:pink_petals,221,177,202
minecraft:pink_shulker_box,230,122,158
minecraft:pink_stained_glass,242,127,165
minecraft:pink_stained_glass_pane,239,126,163
minecraft:pink_terracotta,162,78,79
minecraft:pink_tulip,99,157,78
minecraft:pink_wall_banner,162,131,79
minecraft:pink_wool,238,141,172
minecraft:piston,110,105,96
minecraft:piston_head,135,128,90
minecraft:pitcher_crop,164,138,90
minecraft:pitcher_plant,113,135,141
minecraft:player_head,81,62,51
minecraft:player_wall_head,81,62,51
minecraft:podzol,126,94,65
minecraft:pointed_dripstone,133,106,92
minecraft:polished_andesite,132,135,134
minecraft:polished_andesite_slab,132,135,134
minecraft:polished_andesite_stairs,132,135,134
minecraft:polished_basalt,92,92,95
minecraft:polished_blackstone,53,49,57
minecraft:polished_blackstone_brick_slab,48,43,50
minecraft:polished_blackstone_brick_stairs,48,43,50
minecraft:polished_blackstone_brick_wall,48,43,50
minecraft:polished_blackstone_bricks,48,43,50
minecraft:polished_blackstone_button,53,49,57
minecraft:polished_blackstone_pressure_plate,53,49,57
minecraft:polished_blackstone_slab,53,49,57
minecraft:polished_blackstone_stairs,53,49,57
minecraft:polished_blackstone_wall,53,49,57
minecraft:polished_deepslate,72,73,73
minecraft:polished_deepslate_slab,72,73,73
minecraft:polished_deepslate_stairs,72,73,73
minecraft:polished_deepslate_wall,72,73,73
minecraft:polished_diorite,193,193,195
minecraft:polished_diorite_slab,193,193,195
minecraft:polished_diorite_stairs,193,193,195
minecraft:polished_granite,154,107,89
minecraft:polished_granite_slab,154,107,89
minecraft:polished_granite_stairs,154,107,89
minecraft:polished_tuff,98,104,100
minecraft:polished_tuff_slab,98,104,100
minecraft:polished_tuff_stairs,98,104,100
minecraft:polished_tuff_wall,98,104,100
minecraft:poppy,129,65,38
minecraft:potatoes,75,131,45
minecraft:potted_acacia_sapling,125,88,49
minecraft:potted_allium,135,93,89
minecraft:potted_azalea_bush,112,97,52
minecraft:potted_azure_bluet,138,110,75
minecraft:potted_bamboo,115,103,46
minecraft:potted_birch_sapling,128,99,63
minecraft:potted_blue_orchid,107,99,85
minecraft:potted_brown_mushroom,134,88,66
minecraft:potted_cactus,106,99,48
minecraft:potted_cherry_sapling,136,88,79
minecraft:potted_closed_eyeblossom,122,83,68
minecraft:potted_cornflower,116,89,80
minecraft:potted_crimson_fungus,131,70,51
minecraft:potted_crimson_roots,127,60,54
minecraft:potted_dandelion,132,102,54
minecraft:potted_dark_oak_sapling,111,81,51
minecraft:potted_dead_bush,122,78,54
minecraft:potted_fern,126,90,74
minecraft:potted_flowering_azalea_bush,118,95,62
minecraft:potted_golden_dandelion,136,84,52
minecraft:potted_jungle_sapling,108,79,48
minecraft:potted_lily_of_the_valley,126,102,67
minecraft:potted_mangrove_propagule,120,102,64
minecraft:potted_oak_sapling,115,85,54
minecraft:potted_open_eyeblossom,151,99,68
minecraft:potted_orange_tulip,119,94,51
minecraft:potted_oxeye_daisy,140,109,79
minecraft:potted_pale_oak_sapling,123,85,68
minecraft:potted_pink_tulip,120,98,63
minecraft:potted_poppy,128,75,53
minecraft:potted_red_mushroom,150,77,60
minecraft:potted_red_tulip,118,91,52
minecraft:potted_spruce_sapling,107,74,52
minecraft:potted_torchflower,121,84,62
minecraft:potted_warped_fungus,114,86,65
minecraft:potted_warped_roots,101,93,74
minecraft:potted_white_tulip,119,100,61
minecraft:potted_wither_rose,106,70,49
minecraft:powder_snow,248,253,253
minecraft:powder_snow_cauldron,93,94,96
minecraft:powered_rail,146,110,74
minecraft:prismarine,99,156,151
minecraft:prismarine_brick_slab,99,172,158
minecraft:prismarine_brick_stairs,99,172,158
minecraft:prismarine_bricks,99,172,158
minecraft:prismarine_slab,99,156,151
minecraft:prismarine_stairs,99,156,151
minecraft:prismarine_wall,99,156,151
minecraft:pumpkin,197,116,24
minecraft:pumpkin_stem,154,154,154
minecraft:purple_banner,162,131,79
minecraft:purple_bed,162,131,79
minecraft:purple_candle,115,34,152
minecraft:purple_candle_cake,181,125,129
minecraft:purple_carpet,122,42,173
minecraft:purple_concrete,100,32,156
minecraft:purple_concrete_powder,132,56,178
minecraft:purple_glazed_terracotta,110,48,152
minecraft:purple_shulker_box,103,32,156
minecraft:purple_stained_glass,127,63,178
minecraft:purple_stained_glass_pane,126,62,176
minecraft:purple_terracotta,118,70,86
minecraft:purple_wall_banner,162,131,79
minecraft:purple_wool,122,42,173
minecraft:purpur_block,170,126,170
minecraft:purpur_pillar,172,129,172
minecraft:purpur_slab,170,126,170
minecraft:purpur_stairs,170,126,170
minecraft:quartz_block,236,230,223
minecraft:quartz_bricks,235,229,222
minecraft:quartz_pillar,236,231,224
minecraft:quartz_slab,236,230,223
minecraft:quartz_stairs,236,230,223
minecraft:rail,128,113,89
minecraft:raw_copper_block,154,106,79
minecraft:raw_gold_block,222,169,47
minecraft:raw_iron_block,166,136,107
minecraft:red_banner,162,131,79
minecraft:red_bed,162,131,79
minecraft:red_candle,167,52,42
minecraft:red_candle_cake,191,128,106
minecraft:red_carpet,161,39,35
minecraft:red_concrete,142,33,33
minecraft:red_concrete_powder,168,54,51
minecraft:red_glazed_terracotta,182,60,53
minecraft:red_mushroom,217,75,68
minecraft:red_mushroom_block,201,108,82
minecraft:red_nether_brick_slab,70,7,9
minecraft:red_nether_brick_stairs,70,7,9
minecraft:red_nether_brick_wall,70,7,9
minecraft:red_nether_bricks,70,7,9
minecraft:red_sand,191,103,33
minecraft:red_sandstone,186,99,29
minecraft:red_sandstone_slab,185,99,29
minecraft:red_sandstone_stairs,185,98,29
minecraft:red_sandstone_wall,187,99,29
minecraft:red_shulker_box,140,31,30
minecraft:red_stained_glass,153,51,51
minecraft:red_stained_glass_pane,151,50,50
minecraft:red_terracotta,143,61,47
minecraft:red_tulip,90,129,33
minecraft:red_wall_banner,162,131,79
minecraft:red_wool,161,39,35
minecraft:redstone_block,176,25,5
minecraft:redstone_lamp,119,78,46
minecraft:redstone_ore,140,110,110
minecraft:redstone_torch,142,64,44
minecraft:redstone_wall_torch,142,64,44
minecraft:redstone_wire,240,240,240
minecraft:reinforced_deepslate,93,98,92
minecraft:repeater,149,129,124
minecraft:repeating_command_block,128,110,171
minecraft:resin_block,217,99,25
minecraft:resin_brick_slab,206,88,24
minecraft:resin_brick_stairs,206,88,24
minecraft:resin_brick_wall,206,88,24
minecraft:resin_bricks,206,88,24
minecraft:resin_clump,223,112,27
minecraft:respawn_anchor,47,24,78
minecraft:rooted_dirt,144,104,77
minecraft:rose_bush,114,75,38
minecraft:sand,219,207,163
minecraft:sandstone,218,205,158
minecraft:sandstone_slab,218,205,159
minecraft:sandstone_stairs,218,206,159
minecraft:sandstone_wall,216,203,156
minecraft:scaffolding,182,152,76
minecraft:sculk,13,30,36
minecraft:sculk_catalyst,67,87,86
minecraft:sculk_sensor,11,54,62
minecraft:sculk_shrieker,66,84,79
minecraft:sculk_vein,8,48,58
minecraft:sea_lantern,172,200,190
minecraft:sea_pickle,90,97,40
minecraft:seagrass,51,127,8
minecraft:short_dry_grass,187,159,108
minecraft:short_grass,146,145,146
minecraft:shroomlight,241,147,71
minecraft:shulker_box,139,97,139
minecraft:skeleton_skull,81,62,51
minecraft:skeleton_wall_skull,81,62,51
minecraft:slime_block,112,192,92
minecraft:small_amethyst_bud,132,99,192
minecraft:small_dripleaf,97,121,46
minecraft:smithing_table,57,38,41
minecraft:smoker,101,91,78
minecraft:smooth_basalt,73,72,78
minecraft:smooth_quartz,237,230,224
minecraft:smooth_quartz_slab,237,230,224
minecraft:smooth_quartz_stairs,237,230,224
minecraft:smooth_red_sandstone,181,98,31
minecraft:smooth_red_sandstone_slab,181,98,31
minecraft:smooth_red_sandstone_stairs,181,98,31
minecraft:smooth_sandstone,224,214,170
minecraft:smooth_sandstone_slab,224,214,170
minecraft:smooth_sandstone_stairs,224,214,170
minecraft:smooth_stone,159,159,159
minecraft:smooth_stone_slab,164,164,164
minecraft:sniffer_egg,92,69,48
minecraft:snow,249,254,254
minecraft:snow_block,249,254,254
minecraft:soul_campfire,78,102,98
minecraft:soul_fire,53,193,198
minecraft:soul_lantern,72,99,115
minecraft:soul_sand,81,62,51
minecraft:soul_soil,76,58,47
minecraft:soul_torch,109,115,90
minecraft:soul_wall_torch,109,115,90
minecraft:spawner,36,46,63
minecraft:sponge,196,192,75
minecraft:spore_blossom,176,112,123
minecraft:spruce_button,115,85,49
minecraft:spruce_door,106,80,49
minecraft:spruce_fence,115,85,49
minecraft:spruce_fence_gate,115,85,49
minecraft:spruce_hanging_sign,116,90,52
minecraft:spruce_leaves,126,126,126
minecraft:spruce_log,76,52,27
minecraft:spruce_planks,115,85,49
minecraft:spruce_pressure_plate,115,85,49
minecraft:spruce_sapling,45,60,37
minecraft:spruce_shelf,110,86,50
minecraft:spruce_sign,115,85,49
minecraft:spruce_slab,115,85,49
minecraft:spruce_stairs,115,85,49
minecraft:spruce_trapdoor,104,79,48
minecraft:spruce_wall_hanging_sign,116,90,52
minecraft:spruce_wall_sign,115,85,49
minecraft:spruce_wood,59,38,17
minecraft:sticky_piston,107,108,96
minecraft:stone,126,126,126
minecraft:stone_brick_slab,122,122,122
minecraft:stone_brick_stairs,122,122,122
minecraft:stone_brick_wall,122,122,122
minecraft:stone_bricks,122,122,122
minecraft:stone_button,126,126,126
minecraft:stone_pressure_plate,126,126,126
minecraft:stone_slab,126,126,126
minecraft:stone_stairs,126,126,126
minecraft:stonecutter,138,133,129
minecraft:stripped_acacia_log,172,92,57
minecraft:stripped_acacia_wood,175,93,60
minecraft:stripped_bamboo_block,188,168,78
minecraft:stripped_birch_log,195,175,117
minecraft:stripped_birch_wood,197,176,118
minecraft:stripped_cherry_log,217,152,152
minecraft:stripped_cherry_wood,215,145,149
minecraft:stripped_crimson_hyphae,137,57,90
minecraft:stripped_crimson_stem,132,57,88
minecraft:stripped_dark_oak_log,71,53,32
minecraft:stripped_dark_oak_wood,73,57,36
minecraft:stripped_jungle_log,169,130,84
minecraft:stripped_jungle_wood,171,133,85
minecraft:stripped_mangrove_log,116,51,46
minecraft:stripped_mangrove_wood,120,54,48
minecraft:stripped_oak_log,171,139,83
minecraft:stripped_oak_wood,177,144,86
minecraft:stripped_pale_oak_log,242,234,233
minecraft:stripped_pale_oak_wood,246,238,237
minecraft:stripped_spruce_log,115,89,51
minecraft:stripped_spruce_wood,116,90,52
minecraft:stripped_warped_hyphae,58,151,148
minecraft:stripped_warped_stem,56,144,140
minecraft:structure_block,76,64,78
minecraft:structure_void,25,87,93
minecraft:sugar_cane,149,193,101
minecraft:sunflower,118,154,39
minecraft:suspicious_gravel,127,122,121
minecraft:suspicious_sand,215,200,153
minecraft:sweet_berry_bush,55,88,55
minecraft:tall_dry_grass,197,172,123
minecraft:tall_grass,140,138,140
minecraft:tall_seagrass,52,128,9
minecraft:target,228,174,165
minecraft:terracotta,152,94,68
minecraft:test_block,148,160,156
minecraft:test_instance_block,127,121,119
minecraft:tinted_glass,44,39,46
minecraft:tnt,171,79,72
minecraft:torch,139,113,64
minecraft:torchflower,101,101,77
minecraft:torchflower_crop,47,104,72
minecraft:trapped_chest,162,131,79
minecraft:trial_spawner,48,66,81
minecraft:tripwire,129,129,129
minecraft:tripwire_hook,152,131,97
minecraft:tube_coral,48,83,197
minecraft:tube_coral_block,49,87,207
minecraft:tube_coral_fan,51,92,209
minecraft:tube_coral_wall_fan,51,92,209
minecraft:tuff,108,109,103
minecraft:tuff_brick_slab,98,103,95
minecraft:tuff_brick_stairs,98,103,95
minecraft:tuff_brick_wall,98,103,95
minecraft:tuff_bricks,98,103,95
minecraft:tuff_slab,108,109,103
minecraft:tuff_stairs,108,109,103
minecraft:tuff_wall,108,109,103
minecraft:turtle_egg,218,215,178
minecraft:twisting_vines,20,143,124
minecraft:twisting_vines_plant,20,136,122
minecraft:vault,53,62,68
minecraft:verdant_froglight,217,238,215
minecraft:vine,116,116,116
minecraft:void_air,,,
minecraft:wall_torch,139,113,64
minecraft:warped_button,43,105,99
minecraft:warped_door,44,123,116
minecraft:warped_fence,43,105,99
minecraft:warped_fence_gate,43,105,99
minecraft:warped_fungus,74,109,88
minecraft:warped_hanging_sign,58,151,148
minecraft:warped_hyphae,58,59,78
minecraft:warped_nylium,72,68,64
minecraft:warped_planks,43,105,99
minecraft:warped_pressure_plate,43,105,99
minecraft:warped_roots,20,138,124
minecraft:warped_shelf,54,146,141
minecraft:warped_sign,43,105,99
minecraft:warped_slab,43,105,99
minecraft:warped_stairs,43,105,99
minecraft:warped_stem,56,76,89
minecraft:warped_trapdoor,47,120,112
minecraft:warped_wall_hanging_sign,58,151,148
minecraft:warped_wall_sign,43,105,99
minecraft:warped_wart_block,23,120,121
minecraft:water,177,177,177
minecraft:water_cauldron,81,81,83
minecraft:waxed_chiseled_copper,184,101,74
minecraft:waxed_copper_bars,156,81,55
minecraft:waxed_copper_block,192,108,80
minecraft:waxed_copper_bulb,186,118,82
minecraft:waxed_copper_chain,152,79,55
minecraft:waxed_copper_chest,192,108,80
minecraft:waxed_copper_door,187,106,80
minecraft:waxed_copper_golem_statue,192,108,80
minecraft:waxed_copper_grate,192,108,79
minecraft:waxed_copper_lantern,158,108,76
minecraft:waxed_copper_trapdoor,191,106,80
minecraft:waxed_cut_copper,191,107,81
minecraft:waxed_cut_copper_slab,191,107,81
minecraft:waxed_cut_copper_stairs,191,107,81
minecraft:waxed_exposed_chiseled_copper,155,119,101
minecraft:waxed_exposed_copper,161,126,104
minecraft:waxed_exposed_copper_bars,134,108,89
minecraft:waxed_exposed_copper_bulb,165,126,94
minecraft:waxed_exposed_copper_chain,126,102,84
minecraft:waxed_exposed_copper_chest,161,126,104
minecraft:waxed_exposed_copper_door,158,120,103
minecraft:waxed_exposed_copper_golem_statue,161,126,104
minecraft:waxed_exposed_copper_grate,162,126,105
minecraft:waxed_exposed_copper_lantern,148,131,105
minecraft:waxed_exposed_copper_trapdoor,161,125,105
minecraft:waxed_exposed_cut_copper,155,122,101
minecraft:waxed_exposed_cut_copper_slab,155,122,101
minecraft:waxed_exposed_cut_copper_stairs,155,122,101
minecraft:waxed_exposed_lightning_rod,207,188,180
minecraft:waxed_lightning_rod,226,183,169
minecraft:waxed_oxidized_chiseled_copper,84,162,132
minecraft:waxed_oxidized_copper,82,163,133
minecraft:waxed_oxidized_copper_bars,64,123,101
minecraft:waxed_oxidized_copper_bulb,103,142,106
minecraft:waxed_oxidized_copper_chain,62,118,99
minecraft:waxed_oxidized_copper_chest,82,163,133
minecraft:waxed_oxidized_copper_door,81,156,130
minecraft:waxed_oxidized_copper_golem_statue,82,163,133
minecraft:waxed_oxidized_copper_grate,82,161,131
minecraft:waxed_oxidized_copper_lantern,78,139,111
minecraft:waxed_oxidized_copper_trapdoor,84,161,132
minecraft:waxed_oxidized_cut_copper,80,154,126
minecraft:waxed_oxidized_cut_copper_slab,80,154,126
minecraft:waxed_oxidized_cut_copper_stairs,80,154,126
minecraft:waxed_oxidized_lightning_rod,167,204,192
minecraft:waxed_weathered_chiseled_copper,105,151,111
minecraft:waxed_weathered_copper,108,153,110
minecraft:waxed_weathered_copper_bars,85,123,94
minecraft:waxed_weathered_copper_bulb,125,141,98
minecraft:waxed_weathered_copper_chain,73,109,92
minecraft:waxed_weathered_copper_chest,108,153,110
minecraft:waxed_weathered_copper_door,108,147,106
minecraft:waxed_weathered_copper_golem_statue,108,153,110
minecraft:waxed_weathered_copper_grate,106,153,111
minecraft:waxed_weathered_copper_lantern,96,134,100
minecraft:waxed_weathered_copper_trapdoor,109,153,110
minecraft:waxed_weathered_cut_copper,109,145,108
minecraft:waxed_weathered_cut_copper_slab,109,145,108
minecraft:waxed_weathered_cut_copper_stairs,109,145,108
minecraft:waxed_weathered_lightning_rod,176,198,180
minecraft:weathered_chiseled_copper,105,151,111
minecraft:weathered_copper,108,153,110
minecraft:weathered_copper_bars,85,123,94
minecraft:weathered_copper_bulb,125,141,98
minecraft:weathered_copper_chain,73,109,92
minecraft:weathered_copper_chest,108,153,110
minecraft:weathered_copper_door,108,147,106
minecraft:weathered_copper_golem_statue,108,153,110
minecraft:weathered_copper_grate,106,153,111
minecraft:weathered_copper_lantern,96,134,100
minecraft:weathered_copper_trapdoor,109,153,110
minecraft:weathered_cut_copper,109,145,108
minecraft:weathered_cut_copper_slab,109,145,108
minecraft:weathered_cut_copper_stairs,109,145,108
minecraft:weathered_lightning_rod,176,198,180
minecraft:weeping_vines,105,1,0
minecraft:weeping_vines_plant,133,16,12
minecraft:wet_sponge,171,181,70
minecraft:wheat,55,133,25
minecraft:white_banner,162,131,79
minecraft:white_bed,162,131,79
minecraft:white_candle,214,217,212
minecraft:white_candle_cake,200,161,141
minecraft:white_carpet,234,236,237
minecraft:white_concrete,207,213,214
minecraft:white_concrete_powder,226,227,228
minecraft:white_glazed_terracotta,188,212,203
minecraft:white_shulker_box,216,221,221
minecraft:white_stained_glass,255,255,255
minecraft:white_stained_glass_pane,252,252,252
minecraft:white_terracotta,210,178,161
minecraft:white_tulip,94,165,71
minecraft:white_wall_banner,162,131,79
minecraft:white_wool,234,236,237
minecraft:wildflowers,214,199,134
minecraft:wither_rose,41,45,23
minecraft:wither_skeleton_skull,81,62,51
minecraft:wither_skeleton_wall_skull,81,62,51
minecraft:yellow_banner,162,131,79
minecraft:yellow_bed,162,131,79
minecraft:yellow_candle,213,174,62
minecraft:yellow_candle_cake,200,153,111
minecraft:yellow_carpet,249,198,40
minecraft:yellow_concrete,241,175,21
minecraft:yellow_concrete_powder,233,199,55
minecraft:yellow_glazed_terracotta,234,192,89
minecraft:yellow_shulker_box,248,189,29
minecraft:yellow_stained_glass,229,229,51
minecraft:yellow_stained_glass_pane,226,226,50
minecraft:yellow_terracotta,186,133,35
minecraft:yellow_wall_banner,162,131,79
minecraft:yellow_wool,249,198,40
minecraft:zombie_head,81,62,51
minecraft:zombie_wall_head,81,62,51
